country_id;title_ru
"83";"Ирак"
"7";"Грузия"
"126";"Мексика"
"35";"Белиз"
"29";"Аруба"
"47";"Бутан"
"73";"Дания"
"130";"Монголия"
"129";"Монако"
"57";"Гаити"
"85";"Ирландия"
"120";"Мали"
"100";"Конго"
"72";"Гуам"
"25";"Ангола"
"104";"Куба"
"106";"Лаос"
"110";"Ливия"
"60";"Гана"
"59";"Гамбия"
"36";"Бельгия"
"37";"Бенин"
"231";"Джибути"
"95";"Кипр"
"15";"Молдова"
"12";"Латвия"
"88";"Италия"
"97";"Китай"
"77";"Замбия"
"63";"Гвинея"
"116";"Макао"
"80";"Индия"
"94";"Кения"
"118";"Малави"
"58";"Гайана"
"89";"Йемен"
"93";"Катар"
"119";"Малайзия"
"99";"Коморы"
"113";"Маврикий"
"132";"Мьянма"
"65";"Германия"
"134";"Науру"
"135";"Непал"
"233";"Ватикан"
"201";"Уганда"
"14";"Эстония"
"182";"Сингапур"
"228";"Ямайка"
"136";"Нигер"
"1";"Россия"
"140";"Никарагуа"
"224";"Эфиопия"
"181";"Сербия"
"56";"Габон"
"200";"Турция"
"188";"Судан"
"31";"Багамы"
"141";"Ниуэ"
"194";"Того"
"212";"Хорватия"
"34";"Бахрейн"
"191";"Таиланд"
"187";"Сомали"
"153";"Палау"
"195";"Токелау"
"209";"Франция"
"207";"Финляндия"
"8";"Израиль"
"220";"Шри-Ланка"
"167";"Самоа"
"176";"Сенегал"
"171";"Свазиленд"
"38";"Бермуды"
"185";"Словения"
"192";"Тайвань"
"216";"Чили"
"9";"США"
"205";"Фиджи"
"198";"Тувалу"
"144";"Норвегия"
"164";"Руанда"
"214";"Чад"
"147";"Остров Мэн"
"146";"Оман"
"155";"Панама"
"158";"Перу"
"163";"Реюньон"
"221";"Эквадор"
"11";"Кыргызстан"
"84";"Иран"
"175";"Сейшелы"
"123";"Марокко"
"90";"Кабо-Верде"
"74";"Доминика"
"149";"Острова Кайман"
"79";"Зимбабве"
"170";"Саудовская Аравия"
"69";"Гренада"
"131";"Монтсеррат"
"122";"Мальта"
"16";"Таджикистан"
"203";"Уругвай"
"4";"Казахстан"
"199";"Тунис"
"10";"Канада"
"54";"Восточный Тимор"
"24";"Ангилья"
"196";"Тонга"
"81";"Индонезия"
"234";"Синт-Мартен"
"128";"Мозамбик"
"39";"Болгария"
"82";"Иордания"
"71";"Греция"
"108";"Либерия"
"184";"Словакия"
"102";"Коста-Рика"
"165";"Румыния"
"133";"Намибия"
"107";"Лесото"
"117";"Македония"
"68";"Гонконг"
"109";"Ливан"
"137";"Нигерия"
"193";"Танзания"
"197";"Тринидад и Тобаго"
"62";"Гватемала"
"152";"Пакистан"
"103";"Кот д`Ивуар"
"229";"Япония"
"5";"Азербайджан"
"66";"Гибралтар"
"78";"Западная Сахара"
"124";"Мартиника"
"18";"Узбекистан"
"50";"Венгрия"
"112";"Люксембург"
"206";"Филиппины"
"43";"Бразилия"
"87";"Испания"
"202";"Уоллис и Футуна"
"20";"Австрия"
"114";"Мавритания"
"30";"Афганистан"
"13";"Литва"
"3";"Беларусь"
"217";"Швейцария"
"143";"Новая Каледония"
"138";"Кюрасао"
"204";"Фарерские острова"
"17";"Туркменистан"
"40";"Боливия"
"156";"Папуа - Новая Гвинея"
"186";"Соломоновы Острова"
"49";"Великобритания"
"115";"Мадагаскар"
"222";"Экваториальная Гвинея"
"92";"Камерун"
"44";"Бруней-Даруссалам"
"2";"Украина"
"230";"Черногория"
"190";"Сьерра-Леоне"
"166";"Сальвадор"
"142";"Новая Зеландия"
"183";"Сирийская Арабская Республика"
"210";"Французская Гвиана"
"19";"Австралия"
"26";"Андорра"
"51";"Венесуэла"
"145";"Объединенные Арабские Эмираты"
"168";"Сан-Марино"
"64";"Гвинея-Бисау"
"32";"Бангладеш"
"42";"Ботсвана"
"21";"Албания"
"70";"Гренландия"
"232";"Южный Судан"
"173";"Северная Корея"
"148";"Остров Норфолк"
"53";"Виргинские острова, США"
"67";"Гондурас"
"75";"Доминиканская Республика"
"61";"Гваделупа"
"105";"Кувейт"
"213";"Центрально-Африканская Республика"
"174";"Северные Марианские острова"
"215";"Чехия"
"139";"Нидерланды"
"52";"Виргинские острова, Британские"
"169";"Сан-Томе и Принсипи"
"46";"Бурунди"
"189";"Суринам"
"150";"Острова Кука"
"172";"Святая Елена"
"178";"Сент-Китс и Невис"
"208";"Фолклендские острова"
"48";"Вануату"
"226";"Южная Корея"
"227";"Южно-Африканская Республика"
"55";"Вьетнам"
"101";"Конго, демократическая республика"
"76";"Египет"
"96";"Кирибати"
"162";"Пуэрто-Рико"
"223";"Эритрея"
"211";"Французская Полинезия"
"151";"Острова Теркс и Кайкос"
"157";"Парагвай"
"160";"Польша"
"177";"Сент-Винсент"
"154";"Палестинская автономия"
"219";"Шпицберген и Ян Майен"
"22";"Алжир"
"33";"Барбадос"
"45";"Буркина-Фасо"
"98";"Колумбия"
"86";"Исландия"
"121";"Мальдивы"
"125";"Маршалловы Острова"
"127";"Микронезия, федеративные штаты"
"159";"Питкерн"
"180";"Сент-Пьер и Микелон"
"218";"Швеция"
"23";"Американское Самоа"
"27";"Антигуа и Барбуда"
"28";"Аргентина"
"6";"Армения"
"91";"Камбоджа"
"235";"Бонайре, Синт-Эстатиус и Саба"
"161";"Португалия"
"179";"Сент-Люсия"
"41";"Босния и Герцеговина"
"111";"Лихтенштейн"
